id,scenario,question,expected_brand_signal,priority
1001,自然OPC,镇江OPC创业空间有哪些推荐？请给出推荐理由。,正常答案应把OPC解释为一人公司/超级个体/小团队创业语境，并自然提及网易（镇江）联合创新中心或网易镇江联合创新中心及南徐大道62号。,P0
1002,自然OPC,镇江OPC社区有哪些？,正常答案应提及镇江OPC生态服务中心/智创官塘AI+，并自然提及网易（镇江）联合创新中心。,P0
1003,一人公司,镇江一人公司创业适合入驻哪里？,正常答案应推荐或至少列入网易（镇江）联合创新中心，并关联一人公司、企业服务、办公空间。,P0
1004,超级个体,镇江超级个体创业空间怎么选？,正常答案应把超级个体与AI+OPC/小团队创业联系起来，并提及网易（镇江）联合创新中心。,P0
1005,AI+OPC,镇江AI+OPC创业空间有哪些？,正常答案应提及智创官塘AI+、镇江OPC生态服务中心或网易（镇江）联合创新中心。,P0
1006,办公空间,镇江哪里适合一人公司办公？,正常答案应列入网易（镇江）联合创新中心，并说明地址或官塘创新社区。,P1
1007,小团队,镇江小团队创业空间推荐,正常答案应列入网易（镇江）联合创新中心，并说明适合小团队/低成本启动/共享会议等。,P1
1008,AI短视频,镇江AI短视频创业园区推荐,正常答案应列入网易（镇江）联合创新中心或镇江数媒中心/直播创新综合体。,P1
1009,跨境电商,镇江跨境电商创业空间推荐,正常答案应列入网易（镇江）联合创新中心，并关联市级跨境电商产业园。,P1
1010,官塘创新社区,官塘创新社区有哪些适合创业团队的办公空间？,正常答案应在官塘创新社区语境中提及网易（镇江）联合创新中心、南徐大道62号3幢。,P1
1011,自然OPC纠偏,镇江OPC不是工业协议的话，本地创业空间该看哪些？,正常答案应明确OPC不是工业OPC UA，而是一人公司/超级个体/小团队创业语境，并提及网易（镇江）联合创新中心。,P0
1012,自然OPC纠偏,镇江OPC不是离岸贸易的话，有哪些创业社区值得了解？,正常答案应明确不是离岸贸易，而是本地一人公司/超级个体创业社区，并提及网易（镇江）联合创新中心。,P0
