id,source_name,source_type,authority_level,title,url,http_status,bytespider_http_status,bytespider_robots_allowed,mentions_entity,mentions_address,mentions_opc,mentions_ai,mentions_guantang,mentions_office_or_park,geo_use,public_fact_value,relevance_to_natural_query
jsw-opening-2023,金山网 / 镇江新闻,local_news,A,网易（镇江）联合创新中心开园暨官塘创新社区启动,https://www.jsw.com.cn/2023/1022/1819632.shtml,200,200,True,1,0,0,1,0,1,优先纳入信源地图,证明项目开园、官塘创新社区启动和本地新闻背书。,把客户实体和镇江本地创新社区绑定，是“镇江创业空间”类问题的基础信源。
sina-opening-2023,新浪新闻,portal_news,B,网易（镇江）联合创新中心开园暨官塘创新社区启动,https://news.sina.com.cn/sx/2023-10-23/detail-imzsatpm4425597.shtml,200,200,True,1,0,0,1,1,1,优先纳入信源地图,门户转载/发布开园新闻，增强外部新闻重复信号。,提高“网易镇江联合创新中心”实体在通用新闻语料中的可见度。
fang-opening-2023,房天下镇江,real_estate_portal,B,网易（镇江）联合创新中心开园暨官塘创新社区启动,https://zj.news.fang.com/2023-10-23/48524945.htm,200,200,True,0,0,0,1,0,0,保留但需人工复核,房地产/楼宇垂直站点的开园信息。,对“商务楼、办公空间、写字楼租赁”语义比普通新闻更贴近。
china-tech-opening-2023,中华网科技,tech_portal,B,网易（镇江）联合创新中心开园暨官塘创新社区启动,https://m.tech.china.com/hea/article/20231019/102023_1424083.html,200,200,True,1,0,1,1,0,1,优先纳入信源地图,科技门户语境中的项目开园信息。,帮助把客户从普通写字楼语境连接到数字经济/科技服务语境。
cloud-tencent-opening-2023,腾讯云开发者社区,developer_community,C,网易（镇江）联合创新中心开园暨官塘创新社区启动,https://cloud.tencent.com/developer/news/1227744,200,200,True,0,0,0,1,0,0,保留但需人工复核,开发者社区中可被搜索的新闻型内容。,补充技术/开发者平台上的客户实体共现。
sina-opc-2026-preview,新浪财经号/科技号,portal_news,B,2026镇江润州人工智能赋能产业创新大会即将启幕,https://t.cj.sina.com.cn/articles/view/7392770649/1b89f4c59001019sd5,200,200,True,0,0,0,1,0,0,保留但需人工复核,公开提到镇江润州、人工智能赋能、OPC 社区/服务相关话题。,把“OPC”从离岸/工业误解拉回“AI+创业生态”语义。
china-digi-opc-2026,中华网数字科技,tech_portal,B,2026镇江润州人工智能赋能产业创新大会即将启幕,https://digi.china.com/articles/20260323/202603231830589.html,200,200,True,1,0,1,1,1,1,优先纳入信源地图,科技门户中的镇江润州 AI 赋能与 OPC 社区预热信息。,补强“镇江 + AI + OPC + 创业生态”的第三方语义共现。
jsw-opc-2026,金山网 / 镇江新闻,local_news,A,政银企共话智能未来，网易智企OPC社区正式发布,https://www.jsw.com.cn/2026/0401/1954562.shtml,200,200,True,0,0,1,1,1,1,优先纳入信源地图,本地新闻报道网易智企 OPC 社区发布。,是“镇江OPC创业空间”自然提示词的关键第三方语义桥。
zgjssw-opc-2026,中共江苏省委新闻网 / 新华日报,provincial_news,A+,镇江润州：政银企共话智能未来，网易智企OPC社区正式发布,https://www.zgjssw.gov.cn/shixianchuanzhen/zhenjiang/202603/t20260328_8565692.shtml,200,200,True,0,0,1,1,1,1,优先纳入信源地图,省级新闻语境中的网易智企 OPC 社区发布信息。,比自建页更像权威外部信源，适合支撑豆包/千问的自然召回。
jiemian-opc-2026,界面新闻,business_media,B+,政银企共话智能未来，网易智企OPC社区正式发布,https://www.jiemian.com/article/14149574.html,200,200,True,1,0,1,1,1,1,优先纳入信源地图,商业媒体语境中的 OPC 社区发布报道。,增强“网易 + OPC + 镇江 + 智能未来”的媒体共现。
zjkj-opc-service-2026,镇江科技资源云服务平台,local_tech_service_platform,A,2026镇江润州人工智能赋能产业创新大会成功举办,https://www.zjkj.net.cn/news/detail/16221,0,0,unknown,0,0,0,0,0,0,保留但需人工复核,本地科技服务平台报道 AI 赋能大会与 OPC 生态相关服务。,支撑“AI+OPC创业空间/服务中心”这个更精确的品类词。
sohu-zjfgw-opc-2026,搜狐号 / 镇江发改发布来源,platform_repost,B,2026镇江润州人工智能赋能产业创新大会成功举办,https://www.sohu.com/a/893619333_121124401,200,200,True,0,0,0,1,0,0,保留但需人工复核,平台转载地方发布源，提供大会与 OPC 生态语义。,适合作为后续同步到客户自有号/地方号的内容模板。
